government,department,programme,subprogramme,financial_year,budget_phase,value
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,Disaster Management,2019,Medium Term Estimates,16348000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,Disaster Management,2020,Medium Term Estimates,17247000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,LDP,2018,Main appropriation,8437000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,LDP,2019,Medium Term Estimates,9564000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,LDP,2020,Medium Term Estimates,10088000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,LEDP,2018,Main appropriation,6976000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,LEDP,2019,Medium Term Estimates,7281000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,LEDP,2020,Medium Term Estimates,7681000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,Municipal Infrastructure,2018,Main appropriation,86451000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,Municipal Infrastructure,2019,Medium Term Estimates,89282000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,Municipal Infrastructure,2020,Medium Term Estimates,94193000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,Spatial Planning,2018,Main appropriation,3577000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,Spatial Planning,2019,Medium Term Estimates,4353000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Development and Planning,Spatial Planning,2020,Medium Term Estimates,4592000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Administration: Housing Development,2018,Main appropriation,56996000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Administration: Housing Development,2019,Medium Term Estimates,60187000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Administration: Housing Development,2020,Medium Term Estimates,63496000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Incremental Intervention,2018,Main appropriation,1045601000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Incremental Intervention,2019,Medium Term Estimates,1293632000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Incremental Intervention,2020,Medium Term Estimates,1491980000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Provincial Intervention,2018,Main appropriation,252537000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Provincial Intervention,2019,Medium Term Estimates,219358000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Provincial Intervention,2020,Medium Term Estimates,257166000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Rural Intervention,2018,Main appropriation,661193000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Rural Intervention,2019,Medium Term Estimates,528503000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Rural Intervention,2020,Medium Term Estimates,412102000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Social and Rental Intervention,2018,Main appropriation,18000000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Social and Rental Intervention,2019,Medium Term Estimates,0.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Housing Development,Social and Rental Intervention,2020,Medium Term Estimates,0.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,"Housing Needs,Planning and Research","Administration : House Planning,Research",2018,Main appropriation,34477000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,"Housing Needs,Planning and Research","Administration : House Planning,Research",2019,Medium Term Estimates,33611000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,"Housing Needs,Planning and Research","Administration : House Planning,Research",2020,Medium Term Estimates,35460000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Local Governance,Municipal Administration,2018,Main appropriation,10673000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Local Governance,Municipal Administration,2019,Medium Term Estimates,11271000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Local Governance,Municipal Administration,2020,Medium Term Estimates,11891000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Local Governance,Municipal Finance,2018,Main appropriation,16057000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Local Governance,Municipal Finance,2019,Medium Term Estimates,18282000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Local Governance,Municipal Finance,2020,Medium Term Estimates,19288000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Local Governance,"Municipal Performance Monitoring, Reporting and Evaluation",2018,Main appropriation,17390000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Local Governance,"Municipal Performance Monitoring, Reporting and Evaluation",2019,Medium Term Estimates,18364000.0
North West,LOCAL GOVERNMENT AND HUMAN SETTLEMENT,Local Governance,"Municipal Performance Monitoring, Reporting and Evaluation",2020,Medium Term Estimates,19373000.0
North West,Office Of The Premier,Administration,Director-General Support,2018,Main appropriation,46567000.0
North West,Office Of The Premier,Administration,Director-General Support,2019,Medium Term Estimates,57430000.0
North West,Office Of The Premier,Administration,Director-General Support,2020,Medium Term Estimates,60588000.0
North West,Office Of The Premier,Administration,Executive Council Support,2018,Main appropriation,9693000.0
North West,Office Of The Premier,Administration,Executive Council Support,2019,Medium Term Estimates,8962000.0
North West,Office Of The Premier,Administration,Executive Council Support,2020,Medium Term Estimates,9456000.0
North West,Office Of The Premier,Administration,Financial Management,2018,Main appropriation,47733000.0
North West,Office Of The Premier,Administration,Financial Management,2019,Medium Term Estimates,52593000.0
North West,Office Of The Premier,Administration,Financial Management,2020,Medium Term Estimates,64488000.0
North West,Office Of The Premier,Administration,Premier Support,2018,Main appropriation,20495400.0
North West,Office Of The Premier,Administration,Premier Support,2019,Medium Term Estimates,25225000.0
North West,Office Of The Premier,Administration,Premier Support,2020,Medium Term Estimates,26613000.0
North West,Office Of The Premier,Policy and Governance,Inter-Governmental Relations,2018,Main appropriation,11685000.0
North West,Office Of The Premier,Policy and Governance,Inter-Governmental Relations,2019,Medium Term Estimates,8569000.0
North West,Office Of The Premier,Policy and Governance,Inter-Governmental Relations,2020,Medium Term Estimates,9039000.0
North West,Office Of The Premier,Policy and Governance,Premier's Priority Programmes,2018,Main appropriation,10545000.0
North West,Office Of The Premier,Policy and Governance,Premier's Priority Programmes,2019,Medium Term Estimates,11491000.0
North West,Office Of The Premier,Policy and Governance,Premier's Priority Programmes,2020,Medium Term Estimates,12123000.0
North West,Office Of The Premier,Policy and Governance,Programme Support,2018,Main appropriation,102120000.0
North West,Office Of The Premier,Policy and Governance,Programme Support,2019,Medium Term Estimates,37273000.0
North West,Office Of The Premier,Policy and Governance,Programme Support,2020,Medium Term Estimates,39322000.0
North West,Office Of The Premier,Policy and Governance,Provincial Policy Management,2018,Main appropriation,121826000.0
North West,Office Of The Premier,Policy and Governance,Provincial Policy Management,2019,Medium Term Estimates,199937000.0
North West,Office Of The Premier,Policy and Governance,Provincial Policy Management,2020,Medium Term Estimates,223002200.0
North West,Office Of The Premier,Policy and Governance,Special Programmes,2018,Main appropriation,0.0
North West,Office Of The Premier,Policy and Governance,Special Programmes,2019,Medium Term Estimates,0.0
North West,Office Of The Premier,Policy and Governance,Special Programmes,2020,Medium Term Estimates,0.0
North West,Office Of The Premier,Institutional Development,Communication Services,2018,Main appropriation,92478000.0
North West,Office Of The Premier,Institutional Development,Communication Services,2019,Medium Term Estimates,106923000.0
North West,Office Of The Premier,Institutional Development,Communication Services,2020,Medium Term Estimates,112803000.0
North West,Office Of The Premier,Institutional Development,Information CommunicationTechnology,2018,Main appropriation,191180000.0
North West,Office Of The Premier,Institutional Development,Information CommunicationTechnology,2019,Medium Term Estimates,233474000.0
North West,Office Of The Premier,Institutional Development,Information CommunicationTechnology,2020,Medium Term Estimates,245229000.0
North West,Office Of The Premier,Institutional Development,Legal Services,2018,Main appropriation,11082000.0
North West,Office Of The Premier,Institutional Development,Legal Services,2019,Medium Term Estimates,15118000.0
North West,Office Of The Premier,Institutional Development,Legal Services,2020,Medium Term Estimates,16740000.0
North West,Office Of The Premier,Institutional Development,Programme Support,2018,Main appropriation,37649000.0
North West,Office Of The Premier,Institutional Development,Programme Support,2019,Medium Term Estimates,32415000.0
North West,Office Of The Premier,Institutional Development,Programme Support,2020,Medium Term Estimates,34465700.0
North West,Office Of The Premier,Institutional Development,Strategic Human Resources,2018,Main appropriation,72328000.0
North West,Office Of The Premier,Institutional Development,Strategic Human Resources,2019,Medium Term Estimates,78561000.0
North West,Office Of The Premier,Institutional Development,Strategic Human Resources,2020,Medium Term Estimates,82619000.0
North West,Provincial Legislature,Administration,Corporate Services,2018,Main appropriation,57651000.0
North West,Provincial Legislature,Administration,Corporate Services,2019,Medium Term Estimates,62930000.0
North West,Provincial Legislature,Administration,Corporate Services,2020,Medium Term Estimates,69364000.0
North West,Provincial Legislature,Administration,Financial Management,2018,Main appropriation,163197000.0
North West,Provincial Legislature,Administration,Financial Management,2019,Medium Term Estimates,154607856.0
North West,Provincial Legislature,Administration,Financial Management,2020,Medium Term Estimates,129485000.0
North West,Provincial Legislature,Administration,Internal Audit,2018,Main appropriation,6187000.0
North West,Provincial Legislature,Administration,Internal Audit,2019,Medium Term Estimates,6652000.0
North West,Provincial Legislature,Administration,Internal Audit,2020,Medium Term Estimates,7017000.0
North West,Provincial Legislature,Administration,Office of the Secretary,2018,Main appropriation,48739000.0
North West,Provincial Legislature,Administration,Office of the Secretary,2019,Medium Term Estimates,52217656.0
North West,Provincial Legislature,Administration,Office of the Secretary,2020,Medium Term Estimates,55092000.0
North West,Provincial Legislature,Administration,Office of the Speaker,2018,Main appropriation,19352000.0
North West,Provincial Legislature,Administration,Office of the Speaker,2019,Medium Term Estimates,20699824.0
North West,Provincial Legislature,Administration,Office of the Speaker,2020,Medium Term Estimates,21839000.0
North West,Provincial Legislature,Legislature operations,Commitee Services,2018,Main appropriation,37249000.0
North West,Provincial Legislature,Legislature operations,Commitee Services,2019,Medium Term Estimates,40907000.0
North West,Provincial Legislature,Legislature operations,Commitee Services,2020,Medium Term Estimates,45158000.0
North West,Provincial Legislature,Legislature operations,Exposure to Parliamentary Services,2018,Main appropriation,11126000.0
North West,Provincial Legislature,Legislature operations,Exposure to Parliamentary Services,2019,Medium Term Estimates,13622584.0
North West,Provincial Legislature,Legislature operations,Exposure to Parliamentary Services,2020,Medium Term Estimates,14372000.0
North West,Provincial Legislature,Legislature operations,"Library, Research & Information Services",2018,Main appropriation,11057000.0
North West,Provincial Legislature,Legislature operations,"Library, Research & Information Services",2019,Medium Term Estimates,11874000.0
North West,Provincial Legislature,Legislature operations,"Library, Research & Information Services",2020,Medium Term Estimates,13120000.0
North West,Provincial Legislature,Legislature operations,Logistics Members,2018,Main appropriation,47835000.0
North West,Provincial Legislature,Legislature operations,Logistics Members,2019,Medium Term Estimates,49903024.0
North West,Provincial Legislature,Legislature operations,Logistics Members,2020,Medium Term Estimates,52647000.0
North West,Provincial Legislature,Legislature operations,NCOP Liaison Services,2018,Main appropriation,4339000.0
North West,Provincial Legislature,Legislature operations,NCOP Liaison Services,2019,Medium Term Estimates,4644000.0
North West,Provincial Legislature,Legislature operations,NCOP Liaison Services,2020,Medium Term Estimates,4899000.0
North West,Provincial Legislature,Legislature operations,Public Participation,2018,Main appropriation,21285000.0
North West,Provincial Legislature,Legislature operations,Public Participation,2019,Medium Term Estimates,22070256.0
North West,Provincial Legislature,Legislature operations,Public Participation,2020,Medium Term Estimates,23283000.0
North West,Provincial Legislature,Legislature operations,House Proceedings,2018,Main appropriation,12026000.0
North West,Provincial Legislature,Legislature operations,House Proceedings,2019,Medium Term Estimates,12899000.0
North West,Provincial Legislature,Legislature operations,House Proceedings,2020,Medium Term Estimates,13608000.0
North West,Provincial Legislature,Statutory Payments,Members' Salaries,2018,Main appropriation,33855000.0
North West,Provincial Legislature,Statutory Payments,Members' Salaries,2019,Medium Term Estimates,35751000.0
North West,Provincial Legislature,Statutory Payments,Members' Salaries,2020,Medium Term Estimates,37717000.0
North West,Public Works And Roads,Administration,Corporate Support,2018,Main appropriation,186433000.0
North West,Public Works And Roads,Administration,Corporate Support,2019,Medium Term Estimates,195754000.0
North West,Public Works And Roads,Administration,Corporate Support,2020,Medium Term Estimates,203172000.0
North West,Public Works And Roads,Administration,Departmental Strategy,2018,Main appropriation,6294000.0
North West,Public Works And Roads,Administration,Departmental Strategy,2019,Medium Term Estimates,6759000.0
North West,Public Works And Roads,Administration,Departmental Strategy,2020,Medium Term Estimates,7130000.0
North West,Public Works And Roads,Administration,Office of the HOD,2018,Main appropriation,30564000.0
North West,Public Works And Roads,Administration,Office of the HOD,2019,Medium Term Estimates,32398000.0
North West,Public Works And Roads,Administration,Office of the HOD,2020,Medium Term Estimates,30181000.0
North West,Public Works And Roads,Administration,Office of the MEC,2018,Main appropriation,8112000.0
North West,Public Works And Roads,Administration,Office of the MEC,2019,Medium Term Estimates,8870000.0
North West,Public Works And Roads,Administration,Office of the MEC,2020,Medium Term Estimates,8559000.0
North West,Public Works And Roads,Community Based Programme,Community Development,2018,Main appropriation,63739000.0
North West,Public Works And Roads,Community Based Programme,Community Development,2019,Medium Term Estimates,61470000.0
North West,Public Works And Roads,Community Based Programme,Community Development,2020,Medium Term Estimates,64851000.0
North West,Public Works And Roads,Community Based Programme,Innovation and Empowerment,2018,Main appropriation,6418000.0
North West,Public Works And Roads,Community Based Programme,Innovation and Empowerment,2019,Medium Term Estimates,6777000.0
North West,Public Works And Roads,Community Based Programme,Innovation and Empowerment,2020,Medium Term Estimates,7150000.0
North West,Public Works And Roads,Community Based Programme,Programme Support,2018,Main appropriation,5581000.0
North West,Public Works And Roads,Community Based Programme,Programme Support,2019,Medium Term Estimates,6186000.0
North West,Public Works And Roads,Community Based Programme,Programme Support,2020,Medium Term Estimates,7038000.0
North West,Public Works And Roads,Community Based Programme,EPWP Co-Ordination and Monitoring,2018,Main appropriation,300000.0
North West,Public Works And Roads,Community Based Programme,EPWP Co-Ordination and Monitoring,2019,Medium Term Estimates,317000.0
North West,Public Works And Roads,Community Based Programme,EPWP Co-Ordination and Monitoring,2020,Medium Term Estimates,335000.0
North West,Public Works And Roads,Public Works Infrastructure,Construction,2018,Main appropriation,148169000.0
North West,Public Works And Roads,Public Works Infrastructure,Construction,2019,Medium Term Estimates,177911000.0
North West,Public Works And Roads,Public Works Infrastructure,Construction,2020,Medium Term Estimates,172102000.0
North West,Public Works And Roads,Public Works Infrastructure,Facility Management,2018,Main appropriation,429815000.0
North West,Public Works And Roads,Public Works Infrastructure,Facility Management,2019,Medium Term Estimates,475904000.0
North West,Public Works And Roads,Public Works Infrastructure,Facility Management,2020,Medium Term Estimates,519418000.0
North West,Public Works And Roads,Public Works Infrastructure,Immovable Asset Management,2018,Main appropriation,13508000.0
North West,Public Works And Roads,Public Works Infrastructure,Immovable Asset Management,2019,Medium Term Estimates,14175000.0
North West,Public Works And Roads,Public Works Infrastructure,Immovable Asset Management,2020,Medium Term Estimates,17521000.0
North West,Public Works And Roads,Public Works Infrastructure,Maintenance,2018,Main appropriation,384529000.0
North West,Public Works And Roads,Public Works Infrastructure,Maintenance,2019,Medium Term Estimates,402340000.0
North West,Public Works And Roads,Public Works Infrastructure,Maintenance,2020,Medium Term Estimates,429580000.0
North West,Public Works And Roads,Public Works Infrastructure,Programme Support,2018,Main appropriation,6950000.0
North West,Public Works And Roads,Public Works Infrastructure,Programme Support,2019,Medium Term Estimates,7294000.0
North West,Public Works And Roads,Public Works Infrastructure,Programme Support,2020,Medium Term Estimates,7695000.0
North West,Public Works And Roads,Public Works Infrastructure,DESIGN,2018,Main appropriation,12868000.0
North West,Public Works And Roads,Public Works Infrastructure,DESIGN,2019,Medium Term Estimates,13589000.0
North West,Public Works And Roads,Public Works Infrastructure,DESIGN,2020,Medium Term Estimates,14336000.0
North West,Public Works And Roads,Public Works Infrastructure,PLANNING,2018,Main appropriation,10989000.0
North West,Public Works And Roads,Public Works Infrastructure,PLANNING,2019,Medium Term Estimates,11494000.0
North West,Public Works And Roads,Public Works Infrastructure,PLANNING,2020,Medium Term Estimates,13388000.0
North West,Public Works And Roads,Transport Infrastructure,Construction: Roads,2018,Main appropriation,1246592000.0
North West,Public Works And Roads,Transport Infrastructure,Construction: Roads,2019,Medium Term Estimates,1212718000.0
North West,Public Works And Roads,Transport Infrastructure,Construction: Roads,2020,Medium Term Estimates,1258040000.0
North West,Public Works And Roads,Transport Infrastructure,Infrastructure  Planning: Roads,2018,Main appropriation,5982000.0
North West,Public Works And Roads,Transport Infrastructure,Infrastructure  Planning: Roads,2019,Medium Term Estimates,6317000.0
North West,Public Works And Roads,Transport Infrastructure,Infrastructure  Planning: Roads,2020,Medium Term Estimates,6665000.0
North West,Public Works And Roads,Transport Infrastructure,Infrastructure Design: Roads,2018,Main appropriation,12113000.0
North West,Public Works And Roads,Transport Infrastructure,Infrastructure Design: Roads,2019,Medium Term Estimates,12791000.0
North West,Public Works And Roads,Transport Infrastructure,Infrastructure Design: Roads,2020,Medium Term Estimates,13995000.0
North West,Public Works And Roads,Transport Infrastructure,Maintenance: Roads,2018,Main appropriation,380076000.0
North West,Public Works And Roads,Transport Infrastructure,Maintenance: Roads,2019,Medium Term Estimates,409750000.0
North West,Public Works And Roads,Transport Infrastructure,Maintenance: Roads,2020,Medium Term Estimates,462062000.0
North West,Public Works And Roads,Transport Infrastructure,Programme Support: Roads,2018,Main appropriation,61929000.0
North West,Public Works And Roads,Transport Infrastructure,Programme Support: Roads,2019,Medium Term Estimates,62473000.0
North West,Public Works And Roads,Transport Infrastructure,Programme Support: Roads,2020,Medium Term Estimates,82990000.0
North West,"Rural, Environment And Agricultural Development",Administration,Communication Services,2018,Main appropriation,8157000.0
North West,"Rural, Environment And Agricultural Development",Administration,Communication Services,2019,Medium Term Estimates,8614000.0
North West,"Rural, Environment And Agricultural Development",Administration,Communication Services,2020,Medium Term Estimates,9088000.0
North West,"Rural, Environment And Agricultural Development",Administration,Corporate Services,2018,Main appropriation,39020000.0
North West,"Rural, Environment And Agricultural Development",Administration,Corporate Services,2019,Medium Term Estimates,41204000.0
North West,"Rural, Environment And Agricultural Development",Administration,Corporate Services,2020,Medium Term Estimates,43469000.0
North West,"Rural, Environment And Agricultural Development",Administration,Financial Management,2018,Main appropriation,174934000.0
North West,"Rural, Environment And Agricultural Development",Administration,Financial Management,2019,Medium Term Estimates,186220000.0
North West,"Rural, Environment And Agricultural Development",Administration,Financial Management,2020,Medium Term Estimates,217285000.0
North West,"Rural, Environment And Agricultural Development",Administration,MEC's Office,2018,Main appropriation,10478000.0
North West,"Rural, Environment And Agricultural Development",Administration,MEC's Office,2019,Medium Term Estimates,11070000.0
North West,"Rural, Environment And Agricultural Development",Administration,MEC's Office,2020,Medium Term Estimates,11679000.0
North West,"Rural, Environment And Agricultural Development",Administration,Senior Management,2018,Main appropriation,35897000.0
North West,"Rural, Environment And Agricultural Development",Administration,Senior Management,2019,Medium Term Estimates,42573000.0
North West,"Rural, Environment And Agricultural Development",Administration,Senior Management,2020,Medium Term Estimates,44918000.0
North West,"Rural, Environment And Agricultural Development",Agricultural Economics Services,Agri-Business Sopport and Development,2018,Main appropriation,12243000.0
North West,"Rural, Environment And Agricultural Development",Agricultural Economics Services,Agri-Business Sopport and Development,2019,Medium Term Estimates,12932000.0
North West,"Rural, Environment And Agricultural Development",Agricultural Economics Services,Agri-Business Sopport and Development,2020,Medium Term Estimates,13643000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Biodiversity Management,2018,Main appropriation,43229000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Biodiversity Management,2019,Medium Term Estimates,45659000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Biodiversity Management,2020,Medium Term Estimates,48169000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Compliance and Enforcement,2018,Main appropriation,9919000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Compliance and Enforcement,2019,Medium Term Estimates,17344000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Compliance and Enforcement,2020,Medium Term Estimates,18298000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Environmental Empowerment Services,2018,Main appropriation,189714000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Environmental Empowerment Services,2019,Medium Term Estimates,205771000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Environmental Empowerment Services,2020,Medium Term Estimates,216441000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,"Environmental Policy, Planning and Coordination",2018,Main appropriation,20003000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,"Environmental Policy, Planning and Coordination",2019,Medium Term Estimates,21115000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,"Environmental Policy, Planning and Coordination",2020,Medium Term Estimates,22276000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Environmental Quality Managemet,2018,Main appropriation,24480000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Environmental Quality Managemet,2019,Medium Term Estimates,25857000.0
North West,"Rural, Environment And Agricultural Development",Environmental Services,Environmental Quality Managemet,2020,Medium Term Estimates,27279000.0
North West,"Rural, Environment And Agricultural Development",Research and Technology  Development Services,RESEARCH,2018,Main appropriation,53840000.0
North West,"Rural, Environment And Agricultural Development",Research and Technology  Development Services,RESEARCH,2019,Medium Term Estimates,56858000.0
North West,"Rural, Environment And Agricultural Development",Research and Technology  Development Services,RESEARCH,2020,Medium Term Estimates,61483000.0
North West,"Rural, Environment And Agricultural Development",Rural Development Coordination,Development Planning and Monitoring,2018,Main appropriation,21684000.0
North West,"Rural, Environment And Agricultural Development",Rural Development Coordination,Development Planning and Monitoring,2019,Medium Term Estimates,22991000.0
North West,"Rural, Environment And Agricultural Development",Rural Development Coordination,Development Planning and Monitoring,2020,Medium Term Estimates,24256000.0
North West,"Rural, Environment And Agricultural Development",Rural Development Coordination,Social Facilitation,2018,Main appropriation,61802000.0
North West,"Rural, Environment And Agricultural Development",Rural Development Coordination,Social Facilitation,2019,Medium Term Estimates,66422000.0
North West,"Rural, Environment And Agricultural Development",Rural Development Coordination,Social Facilitation,2020,Medium Term Estimates,70076000.0
North West,"Rural, Environment And Agricultural Development",Structured Agricultural Education and  Training,Further Education and Training(FET),2018,Main appropriation,24460000.0
North West,"Rural, Environment And Agricultural Development",Structured Agricultural Education and  Training,Further Education and Training(FET),2019,Medium Term Estimates,25666000.0
North West,"Rural, Environment And Agricultural Development",Structured Agricultural Education and  Training,Further Education and Training(FET),2020,Medium Term Estimates,27078000.0
North West,"Rural, Environment And Agricultural Development",Structured Agricultural Education and  Training,Higher Education and Training,2018,Main appropriation,80335000.0
North West,"Rural, Environment And Agricultural Development",Structured Agricultural Education and  Training,Higher Education and Training,2019,Medium Term Estimates,84870000.0
North West,"Rural, Environment And Agricultural Development",Structured Agricultural Education and  Training,Higher Education and Training,2020,Medium Term Estimates,89539000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Disaster Risk Management,2018,Main appropriation,53185000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Disaster Risk Management,2019,Medium Term Estimates,63402000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Disaster Risk Management,2020,Medium Term Estimates,73615000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Engineering Services,2018,Main appropriation,13438000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Engineering Services,2019,Medium Term Estimates,14918000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Engineering Services,2020,Medium Term Estimates,15737000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Land Care,2018,Main appropriation,8398000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Land Care,2019,Medium Term Estimates,9238000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Land Care,2020,Medium Term Estimates,9746000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Land Use Management,2018,Main appropriation,3111000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Land Use Management,2019,Medium Term Estimates,4447000.0
North West,"Rural, Environment And Agricultural Development",Sustainable Resource Management,Land Use Management,2020,Medium Term Estimates,4692000.0
North West,"Rural, Environment And Agricultural Development",FARMER SUPPORT AND DEVELOPMENT,Extention and Advisory Services,2018,Main appropriation,167110000.0
North West,"Rural, Environment And Agricultural Development",FARMER SUPPORT AND DEVELOPMENT,Extention and Advisory Services,2019,Medium Term Estimates,174202000.0
North West,"Rural, Environment And Agricultural Development",FARMER SUPPORT AND DEVELOPMENT,Extention and Advisory Services,2020,Medium Term Estimates,183781000.0
North West,"Rural, Environment And Agricultural Development",FARMER SUPPORT AND DEVELOPMENT,Farmer-settlement and Development,2018,Main appropriation,256517000.0
North West,"Rural, Environment And Agricultural Development",FARMER SUPPORT AND DEVELOPMENT,Farmer-settlement and Development,2019,Medium Term Estimates,251952000.0
North West,"Rural, Environment And Agricultural Development",FARMER SUPPORT AND DEVELOPMENT,Farmer-settlement and Development,2020,Medium Term Estimates,267859000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Animal Health,2018,Main appropriation,100301000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Animal Health,2019,Medium Term Estimates,105962000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Animal Health,2020,Medium Term Estimates,111790000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Export Control,2018,Main appropriation,2629000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Export Control,2019,Medium Term Estimates,2775000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Export Control,2020,Medium Term Estimates,2928000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Veterinary Laboratory Services,2018,Main appropriation,13200000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Veterinary Laboratory Services,2019,Medium Term Estimates,15886000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Veterinary Laboratory Services,2020,Medium Term Estimates,16759000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Veterinary Public Health,2018,Main appropriation,12394000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Veterinary Public Health,2019,Medium Term Estimates,13090000.0
North West,"Rural, Environment And Agricultural Development",Veterinary Services,Veterinary Public Health,2020,Medium Term Estimates,13810000.0
North West,Social Development,Administration,Corporate Services,2018,Main appropriation,124115000.0
North West,Social Development,Administration,Corporate Services,2019,Medium Term Estimates,129058000.0
North West,Social Development,Administration,Corporate Services,2020,Medium Term Estimates,139165000.0
North West,Social Development,Administration,District Management,2018,Main appropriation,63399000.0
North West,Social Development,Administration,District Management,2019,Medium Term Estimates,66981000.0
North West,Social Development,Administration,District Management,2020,Medium Term Estimates,70666000.0
North West,Social Development,Administration,Office of the MEC,2018,Main appropriation,12261000.0
North West,Social Development,Administration,Office of the MEC,2019,Medium Term Estimates,12947000.0
North West,Social Development,Administration,Office of the MEC,2020,Medium Term Estimates,13659000.0
North West,Social Development,Children and Families,Care and Services to Families,2018,Main appropriation,54154000.0
