government,department,programme,subprogramme,financial_year,budget_phase,value
Eastern Cape,Health,District Health Services,Community Health Centres,2018,Main appropriation,1246933000.0
Eastern Cape,Health,District Health Services,Community Health Centres,2019,Medium Term Estimates,1325479000.0
Eastern Cape,Health,District Health Services,Community Health Centres,2020,Medium Term Estimates,1419225000.0
Eastern Cape,Health,District Health Services,District Hospitals,2018,Main appropriation,4678613000.0
Eastern Cape,Health,District Health Services,District Hospitals,2019,Medium Term Estimates,4937161000.0
Eastern Cape,Health,District Health Services,District Hospitals,2020,Medium Term Estimates,5289247000.0
Eastern Cape,Health,District Health Services,District Management,2018,Main appropriation,884813000.0
Eastern Cape,Health,District Health Services,District Management,2019,Medium Term Estimates,960260000.0
Eastern Cape,Health,District Health Services,District Management,2020,Medium Term Estimates,1036319000.0
Eastern Cape,Health,District Health Services,Nutrition,2018,Main appropriation,52837000.0
Eastern Cape,Health,District Health Services,Nutrition,2019,Medium Term Estimates,46543000.0
Eastern Cape,Health,District Health Services,Nutrition,2020,Medium Term Estimates,46038000.0
Eastern Cape,Health,District Health Services,Other Community Services,2018,Main appropriation,68040000.0
Eastern Cape,Health,District Health Services,Other Community Services,2019,Medium Term Estimates,71488000.0
Eastern Cape,Health,District Health Services,Other Community Services,2020,Medium Term Estimates,76673000.0
Eastern Cape,Health,District Health Services,COMMUNITY HEALTH CLINICS,2018,Main appropriation,2344722000.0
Eastern Cape,Health,District Health Services,COMMUNITY HEALTH CLINICS,2019,Medium Term Estimates,2550058000.0
Eastern Cape,Health,District Health Services,COMMUNITY HEALTH CLINICS,2020,Medium Term Estimates,2721386000.0
Eastern Cape,Health,District Health Services,CORONER SERVICES,2018,Main appropriation,106090000.0
Eastern Cape,Health,District Health Services,CORONER SERVICES,2019,Medium Term Estimates,113949000.0
Eastern Cape,Health,District Health Services,CORONER SERVICES,2020,Medium Term Estimates,120932000.0
Eastern Cape,Health,District Health Services,HIV/AIDS,2018,Main appropriation,2098633000.0
Eastern Cape,Health,District Health Services,HIV/AIDS,2019,Medium Term Estimates,2301704000.0
Eastern Cape,Health,District Health Services,HIV/AIDS,2020,Medium Term Estimates,2552300000.0
Eastern Cape,Health,Emergency Medical Services,EMERGENCY TRANSPORT,2018,Main appropriation,1166757771.1
Eastern Cape,Health,Emergency Medical Services,EMERGENCY TRANSPORT,2019,Medium Term Estimates,1306522000.0
Eastern Cape,Health,Emergency Medical Services,EMERGENCY TRANSPORT,2020,Medium Term Estimates,1405276000.0
Eastern Cape,Health,Emergency Medical Services,PLANNED PATIENT TRANSPORT,2018,Main appropriation,117854621.19999999
Eastern Cape,Health,Emergency Medical Services,PLANNED PATIENT TRANSPORT,2019,Medium Term Estimates,125708000.0
Eastern Cape,Health,Emergency Medical Services,PLANNED PATIENT TRANSPORT,2020,Medium Term Estimates,134182000.0
Eastern Cape,Health,Health Care Support Services,Medicine Trading Account,2018,Main appropriation,71179791.5
Eastern Cape,Health,Health Care Support Services,Medicine Trading Account,2019,Medium Term Estimates,75112000.0
Eastern Cape,Health,Health Care Support Services,Medicine Trading Account,2020,Medium Term Estimates,80088000.0
Eastern Cape,Health,Health Care Support Services,Orthotic & Prosthetic Services,2018,Main appropriation,54332662.900000006
Eastern Cape,Health,Health Care Support Services,Orthotic & Prosthetic Services,2019,Medium Term Estimates,57259000.0
Eastern Cape,Health,Health Care Support Services,Orthotic & Prosthetic Services,2020,Medium Term Estimates,61152000.0
